经度,106.0372,,,,,,,,,,,
纬度,37.4053,,,,,,,,,,,
开始时间,2000年01月01日 00时,,,,,,,,,,,
结束时间,2000年01月07日 23时,,,,,,,,,,,
时区,GMT+08:00,,,,,,,,,,,
数据源,欧洲中期天气中心,,,,,,,,,,,
,,,,,,,,,,,,
日期,时间,气温℃,湿度%,气压hPa,降水量mm/h,纬向风m/s,经向风m/s,地面风速m/s,风向°,地表水平辐射W/m^2,法向直接辐射W/m^2,散射辐射W/m^2
2000-01-01,19:00:00,-0.32642211914060226,45.12408162915556,874.50296875,0.0,1.9419634342193604,0.8600809574127197,2.1239023596081417,246.11181640625,0.0,0.0,0.0
2000-01-01,20:00:00,-0.8850769042968523,44.87532380949133,874.34421875,0.0,1.7128808498382568,1.5481131076812744,2.308812465298384,227.89251708984375,0.0,0.0,0.0
2000-01-01,21:00:00,-0.8012756347656023,44.409684777209755,874.123828125,0.0,1.1608622074127197,1.746522307395935,2.0971269000303137,213.61082458496094,0.0,0.0,0.0
2000-01-01,22:00:00,-4.967871093749977,52.31293096092611,873.45375,0.0,0.7481098175048828,1.908663272857666,2.050039947952948,201.40293884277344,0.0,0.0,0.0
2000-01-01,23:00:00,-5.172705078124977,54.05580059452615,873.18046875,0.0,0.19306373596191406,2.3236160278320312,2.3316228363398483,184.74966430664062,0.0,0.0,0.0
2000-01-02,00:00:00,-5.368231201171852,55.67352903703184,872.0078125,0.0,-0.5042762756347656,2.8548407554626465,2.899036098640133,169.982666015625,0.0,0.0,0.0
2000-01-02,01:00:00,-6.051031494140602,61.27163777774227,870.66765625,0.0,-0.9977626800537109,2.9945807456970215,3.156429027905949,161.57247924804688,0.0,0.0,0.0
2000-01-02,02:00:00,-6.648474121093727,64.46643401039267,869.55671875,0.0,-1.5285882949829102,3.093785285949707,3.450809987686611,153.706787109375,0.0,0.0,0.0
2000-01-02,03:00:00,-7.183843994140602,65.04545975907924,868.31359375,0.0,-1.9443683624267578,3.201523780822754,3.7457072560438744,148.72860717773438,0.0,0.0,0.0
2000-01-02,04:00:00,-8.440802001953102,68.90477732369492,867.40546875,0.0,-1.8252859115600586,3.149254560470581,3.639982547428543,149.90371704101562,0.0,0.0,0.0
2000-01-02,05:00:00,-9.044439697265602,72.27844296809475,866.6825,0.0,-1.4619827270507812,3.1716556549072266,3.4923907409537995,155.25253295898438,0.0,0.0,0.0
2000-01-02,06:00:00,-9.196539306640602,76.56839019626244,866.470859375,0.0,-1.0108819007873535,3.0820512771606445,3.2435971223915914,161.84103393554688,0.0,0.0,0.0
2000-01-02,07:00:00,-9.699316406249977,79.23586287823909,866.162265625,0.0,-0.3569364547729492,3.3167290687561035,3.335879996084633,173.85763549804688,0.0,0.0,0.0
2000-01-02,08:00:00,-10.034490966796852,81.96766040004808,866.6825,0.0,-0.13794565200805664,3.2591261863708496,3.262044221281515,177.57635498046875,31.01079861111111,40.13578434907473,28.40197262842125
2000-01-02,09:00:00,-7.127966308593727,75.54286040807098,866.770625,0.0,0.28792619705200195,2.6777658462524414,2.693200962109007,186.1371307373047,176.46020833333333,396.6790036063831,89.55334075256758
2000-01-02,10:00:00,3.2023864746093977,41.28803961304423,867.185,0.0,0.9973759651184082,2.0185351371765137,2.2514979271169855,206.2943878173828,331.3871875,632.1548010875916,109.07485323154343
2000-01-02,11:00:00,4.653314208984398,35.56288999460707,866.83234375,0.0,1.627100944519043,1.6217164993286133,2.297264000468691,225.09495544433594,448.09534722222224,764.2445090628992,108.6432173038568
2000-01-02,12:00:00,4.675042724609398,31.690691627553345,865.765546875,0.0,2.236642599105835,1.7123874425888062,2.8168849585438767,232.56210327148438,507.4661458333333,819.5288708144295,105.68229042731103
2000-01-02,13:00:00,4.810052490234398,28.925465204500618,864.19609375,0.0,2.5424225330352783,1.5289121866226196,2.966729649106686,238.9789581298828,500.83913194444443,806.1173143871237,108.4068810861305
2000-01-02,14:00:00,6.191156005859398,26.748634875054112,863.4290625,0.0,2.443523406982422,1.0947585105895996,2.6775553844840148,245.866455078125,447.2238194444444,809.3142684842497,95.92555134841741
2000-01-02,15:00:00,5.907189941406273,24.53730033876275,863.129296875,0.0,2.009578227996826,0.589134931564331,2.0941548705929494,253.66079711914062,330.06180555555557,712.4991331539829,90.93963134575516
2000-01-02,16:00:00,6.040643310546898,24.822589747325665,862.98828125,0.0,0.9913210868835449,-0.3965110778808594,1.067679039872102,291.800537109375,175.28006944444445,526.8682851706976,70.88012278929875
2000-01-02,17:00:00,3.3668762207031477,24.724455017027356,862.4415625,0.0,-0.28528499603271484,-0.867999792098999,0.9136800140340663,18.194122314453125,30.048541666666665,37.68362315753683,27.59910616142677
2000-01-02,18:00:00,3.2070251464843977,25.022352485357523,862.6884375,0.0,-0.7626247406005859,-0.7431938648223877,1.0648631910652882,45.73930358886719,0.0,0.0,0.0
2000-01-02,19:00:00,3.1418701171875227,27.774000168602637,862.970625,0.0,-0.8423495292663574,-0.2514376640319824,0.8790754395096669,73.37986755371094,0.0,0.0,0.0
2000-01-02,20:00:00,1.5978027343750227,31.457586983659525,863.49078125,0.0,-0.7333588600158691,0.4408613443374634,0.8556716324004265,121.01233673095703,0.0,0.0,0.0
2000-01-02,21:00:00,0.06151733398439774,36.87063691009885,863.455546875,0.0,-0.4215235710144043,1.430774211883545,1.49157533041805,163.58438110351562,0.0,0.0,0.0
2000-01-02,22:00:00,0.44481811523439774,35.933645979064785,863.808203125,0.0,0.5543484687805176,1.0755577087402344,1.2100109956813812,207.26683044433594,0.0,0.0,0.0
2000-01-02,23:00:00,-1.8192504882812273,42.785107640166586,864.31953125,0.0,1.7633395195007324,0.15604805946350098,1.7702308487582625,264.9427490234375,0.0,0.0,0.0
2000-01-03,00:00:00,-2.1016906738281023,40.50609399257624,864.733984375,0.0,1.9480185508728027,1.073424220085144,2.224188802869481,241.14373779296875,0.0,0.0,0.0
2000-01-03,01:00:00,-3.4051879882812273,41.82561337759337,864.160859375,0.0,1.2557246685028076,2.6404309272766113,2.9238194070094874,205.43463134765625,0.0,0.0,0.0
